,link_id,orig_int,dest_int,xi,xj,yi,yj,normalised_density,avg_density,geo_density,hourly_vol,capacity,lane_count,preds,color,mean_normalised_density
0,ec1d0731-7e9d-4816-9f63-ef7f503ced83,4409,4408,144.97050043067802,144.96757913996146,-37.79744980355503,-37.797129070010854,0.2970779236192537,0.359975863386863,0.32376885612768275,636.0,1070.4262239544962,2,0,dark_blue,0.3598713923457558
1,b069c79f-48bf-4994-b11b-31d3eaf036cd,3395,3393,144.98786236025006,144.9888547824255,-37.83060472393792,-37.824601814660475,1.3773758075839369,0.967089291552325,0.9107774047162968,2676.0,647.608296217038,3,3,red,0.8742830024473064
2,ee79f46f-5553-4453-a59d-00d958132c62,4766,4768,145.0115753039932,145.0206926331502,-37.854285053902885,-37.85548408425045,0.010176567035189212,0.1112774613223958,0.03666133953926739,8.0,786.1197172226221,1,1,dark_blue,0.39203225574404343
3,2e5353d2-5a4b-4a21-8113-441ee6569706,4351,4350,145.0522782532546,145.05709158824496,-37.854632160491434,-37.8600467093277,0.3224221318835313,0.30430362668978644,0.27997604281173544,296.0,918.0511222068473,1,1,dark_blue,0.39203225574404343
4,fd1b7164-06ea-4b94-aa20-3bd309894d12,4044,4045,145.06248976466668,145.0685635478638,-37.84662694174385,-37.84730351084405,0.23102855095570152,0.3946728101495785,0.3489753347362548,396.0,857.0369297687602,2,1,dark_blue,0.39203225574404343
5,41abbf6e-0e40-4fb9-b540-999c8bb6d43c,4041,4042,145.05627270906433,145.05594265511448,-37.83366454167078,-37.83541640434785,0.22446068613272002,0.11631594090862234,0.04282653604802898,176.0,784.1016751411604,1,1,dark_blue,0.39203225574404343
6,4b3ab974-96d0-4f4f-937d-2b9dcd3cb9ae,4204,4205,144.91618823598864,144.92394196670298,-37.771710016146784,-37.77253182511887,0.4138376886743947,0.11180962484314061,0.02658701226007562,296.0,715.2562661659636,1,0,dark_blue,0.3598713923457558
7,92db3913-570f-431b-abfb-08d8ef0439a3,4391,4392,144.96399137627643,144.96436635703878,-37.800401455876475,-37.79832621721032,0.10688231714895015,0.15182502982623022,0.14685396073961623,128.0,1197.5788270160765,1,0,dark_blue,0.3598713923457558
8,f46a6bc6-11d3-4f92-9447-a0d752d9d15d,4909,4903,144.9592189304832,144.95665544219605,-37.8421423488215,-37.83661875701111,0.6580221665236047,0.4731459319069069,0.4141623134736161,980.0,744.6557653045608,2,0,dark_blue,0.3598713923457558
9,73b3d067-63e2-47a9-b85a-9c58c8983b47,4405,2918,144.96885743232133,144.97095256954466,-37.807262343881035,-37.80748771123826,0.9777372612924,0.6170503610558584,0.49916301272562813,1528.0,781.3960153161431,2,3,red,0.8742830024473064
10,66ce3489-925d-41b9-a8a5-92d113a5fee8,3397,3396,144.98654001113331,144.98727546211487,-37.83828717442127,-37.83464097534797,1.8912406946235867,0.7987396532345737,0.6638843344690588,1448.0,765.634963395389,1,3,red,0.8742830024473064
11,41c81631-f326-4a6d-a1bf-1d5e7722bb30,4396,4407,144.96693572678265,144.96729902886955,-37.80071366600173,-37.79864722731687,0.018623126271543826,0.24470827339274398,0.14810181166642164,36.0,966.540189737318,2,0,dark_blue,0.3598713923457558
12,993fe8df-5f90-42b8-8346-922fbd585e67,2103,2108,144.98515722955722,144.98275667710595,-37.79387145615554,-37.79361407887638,0.6548078765898012,0.6339344879831975,0.4770642856560076,1648.0,838.9229161295788,3,3,red,0.8742830024473064
13,1486529a-f518-4678-bf2e-beb350af41cc,4140,2107,144.99482187577695,144.99335304918472,-37.78545713755146,-37.78686500406778,0.8895959297928933,0.589040074764038,0.5015408524099617,740.0,831.8383383029634,1,3,red,0.8742830024473064
14,f1e88a0e-d945-4c59-96e2-e630e0494bde,3285,3284,144.90577317779292,144.9029095485226,-37.805652652788154,-37.80851246233006,0.17082760967020214,0.22705930223069148,0.2199861892966718,288.0,842.9550719465359,2,2,dark_blue,0.31297613550902054
15,3380c2cf-8773-4124-a938-0e82dbc4732e,4574,4584,144.95712013237932,144.9566488391033,-37.819360344351544,-37.81832482755821,0.5446533046363741,0.3605329141267107,0.339128780080224,1592.0,974.3201081299868,3,0,dark_blue,0.3598713923457558
16,7b465f3c-2c2d-42d5-8e69-ddafc1cc2c0b,3382,3456,144.9930025467028,144.99445244567744,-37.799818040355206,-37.79995989498825,0.23087351228306238,0.4462547862190968,0.3974408943345198,416.0,900.9262168844284,2,2,dark_blue,0.31297613550902054
17,6f83d48e-7c87-45ae-841a-62a0b6051a98,4396,4397,144.96693572678265,144.9699413052577,-37.80071366600173,-37.8008646460596,0.055716411530652654,0.25212693044456574,0.18439387074493696,72.0,1292.2583853123572,1,0,dark_blue,0.3598713923457558
18,e1e941ba-b1ca-48c6-b61d-8f31468e1656,3577,3626,144.91651482410097,144.9184035521978,-37.829598008885895,-37.82869420473182,0.1668089174226603,0.7042707399668452,0.42688834490842914,148.0,887.2427343017744,1,2,dark_blue,0.31297613550902054
19,7f5a9ad8-e59d-4a89-8ed3-f464326807bb,3431,4230,144.89587708554052,144.88215204085017,-37.821769324392555,-37.8202345741096,0.12017860833375198,0.3761560682033818,0.27800113795463477,240.0,998.5138092691508,2,2,dark_blue,0.31297613550902054
20,23bdeb25-eea2-4097-8f6d-d7a2e84f97c4,1066,1068,144.945018578107,144.9441307765694,-37.81495930080963,-37.81338477341375,0.12403641235637552,0.2555046649118543,0.22111437244847362,220.0,886.8363564398592,2,3,red,0.8742830024473064
21,6581b894-8a12-4c25-8abd-a154179f140d,4906,2404,144.96408886331474,144.96777702691347,-37.834476588122484,-37.83340483258401,0.37578692346336245,0.4611828178974009,0.45384153230551744,348.0,926.0567046685126,1,2,dark_blue,0.31297613550902054
22,3aac7e76-d03e-483a-9ad3-81517a5f3d90,2934,1052,144.97912321688779,144.9826340144725,-37.815675739629114,-37.816069378535076,0.17377166470036898,0.5264045700424239,0.43307550902206526,272.0,782.6362268814199,2,3,red,0.8742830024473064
23,5802ea3d-ddb4-4efb-ba0d-074949310646,4883,4884,144.95811954809366,144.95609586808922,-37.82761440970735,-37.82930954724192,0.6961460877865636,0.626957047167391,0.5356934209499432,676.0,971.0605458537888,1,0,dark_blue,0.3598713923457558
24,b7f30ed5-8c02-41c1-9d07-667d59e0d2e1,3387,3401,144.98371728189022,144.98421514230643,-37.85347772262214,-37.85063854085271,0.48028605267586444,0.26760469301469286,0.21920930081037096,1132.0,1178.4643689871673,2,1,dark_blue,0.39203225574404343
25,82289721-61bc-40ed-b1ec-b247ccbddb1d,4365,3842,145.0283523076491,145.02856818349343,-37.86234444083411,-37.861068383485005,0.003477495766414662,0.2674549535695675,0.07093140055871829,4.0,1150.253017884777,1,1,dark_blue,0.39203225574404343
26,51915647-445f-48e9-b68a-1aab8d4bb8ee,4801,1707,144.9991864037889,144.9973964561368,-37.81855068788612,-37.81836705753894,0.2606908624043882,0.2639452274918749,0.23639265399420917,480.0,920.6306572714,2,2,dark_blue,0.31297613550902054
27,bec1632c-69b8-4fe3-8379-bf2bb8204b2f,4754,4753,144.9979422516447,144.99414906651955,-37.847349216599405,-37.84683405447812,0.48794684476486117,0.16404926335227796,0.0,500.0,1024.7017792295535,1,0,dark_blue,0.3598713923457558
28,2726aa13-ce69-4ccc-8a05-88af6ecca584,1031,3120,145.0578666654557,145.05860649177774,-37.825309810305576,-37.821356785771385,0.5838570062443328,0.3795538832811649,0.2999795319903378,432.0,739.907195391634,1,3,red,0.8742830024473064
29,92a1afd7-da93-42f9-a494-44ea6c808e8a,2408,3387,144.97925419481234,144.98371728189022,-37.8533471171378,-37.85347772262214,0.09743497059810458,0.0695702817608876,0.0637462408326512,100.0,1026.3255521723872,1,3,red,0.8742830024473064
30,1cf87107-6332-483f-94d9-994c45e6568a,4205,4206,144.92394196670298,144.92692382397183,-37.77253182511887,-37.77267446070683,0.4589106675037686,0.5516599564758828,0.5364103863385303,644.0,701.6616147789935,2,0,dark_blue,0.3598713923457558
31,3427d70d-e69b-4674-b015-76b3c1819271,4040,3979,145.05670944087387,145.05916713928087,-37.8313106434847,-37.831612527931426,0.05375939992487279,0.1711364057027245,0.13990097308303406,132.0,1227.6922750669296,2,1,dark_blue,0.39203225574404343
32,dd6fb090-ae19-4de4-88be-2f97c0118b86,4501,4496,144.94515592703505,144.9455438102062,-37.804679303750405,-37.80256831091076,0.13341050350939151,0.19495640795275926,0.16333760823614468,148.0,1109.357929899286,1,0,dark_blue,0.3598713923457558
33,49baa5fd-4bcc-431d-a6d5-98719e932098,4271,4278,145.04367076764183,145.0385734786327,-37.829824038513095,-37.829234566924356,0.011745907177964802,0.4256431647287592,0.17832034164843355,12.0,1021.6324561556108,1,1,dark_blue,0.39203225574404343
34,1fa40606-7399-4d59-8f46-882046a9dc34,4350,4351,145.05709158824496,145.0522782532546,-37.8600467093277,-37.854632160491434,0.17833518546730434,0.4456479998049806,0.38549037637781697,164.0,919.6166172719038,1,1,dark_blue,0.39203225574404343
35,8fee8153-2be3-4b68-a9fa-7760d0805eea,3627,2896,144.9227004340499,144.92434447100538,-37.827805849471524,-37.832791271051,0.2265832584287494,0.23443569789690114,0.2250414109738762,188.0,829.7170819401815,1,2,dark_blue,0.31297613550902054
36,1d0e6d06-19ef-42f6-a904-4beb2b479164,4909,3012,144.9592189304832,144.9514003486422,-37.8421423488215,-37.84913480006953,0.12956195252750932,0.36745388910768784,0.29923884515927734,212.0,818.1414213983344,2,1,dark_blue,0.39203225574404343
37,a96d5001-05b6-4b84-9ae3-2891fa11bd3b,4144,4142,144.9830123222511,144.9860572292682,-37.806343126273426,-37.80672867783372,0.17283743854526845,0.1815266512875115,0.1742732178708655,172.0,995.154761883091,1,0,dark_blue,0.3598713923457558
38,9c31d136-0e2f-4aa2-bd61-3fecc427162b,2923,2922,144.95890648791797,144.9613799164005,-37.81101039637205,-37.810287245086094,0.02931747189490191,0.06294428532769596,0.05657889906450517,60.0,1023.2805921173843,2,2,dark_blue,0.31297613550902054
39,7b42f2ab-116b-4abd-9557-35e476430056,4553,4539,144.97659898681943,144.97581636597948,-37.8390539523833,-37.83692273835501,0.42496384141388627,0.5888455638081749,0.5738041443732597,456.0,536.5162345140402,2,0,dark_blue,0.3598713923457558
40,796c1a10-6f42-44cc-b584-068b65db6df4,4800,3390,144.9946450088394,144.99002395757518,-37.818031851438704,-37.81752049236101,0.6620376651102666,0.4804331201684367,0.3856724296676882,964.0,728.055253351363,2,2,dark_blue,0.31297613550902054
41,873835c7-c869-42f3-adfd-24bec0b0dde6,4575,4576,144.973963000175,144.97148933433414,-37.81328906032319,-37.81402148385118,0.4185893469428144,0.3046328050112269,0.2828813119144991,512.0,1223.1558297873903,1,0,dark_blue,0.3598713923457558
42,06aa34fe-e0de-495e-bbc8-012a5a2d1910,4473,4472,144.93148232726452,144.92950112784723,-37.7883449437341,-37.78812989524068,0.2534745457242065,0.26307750449642675,0.21739955828307955,604.0,1191.4411332197108,2,0,dark_blue,0.3598713923457558
43,a7c567d9-98ad-4dcd-83cc-d5714a8f7d6d,2924,2923,144.9564673225001,144.95890648791797,-37.81172507788869,-37.81101039637205,0.0933018833854124,0.20783474083994197,0.12464977582414026,180.0,964.6107531208888,2,2,dark_blue,0.31297613550902054
44,35b89d35-b035-49a0-af58-e26436e8fa20,2503,2782,144.90432943283298,144.90373553701144,-37.794848981982284,-37.79818175166712,0.8624565338421335,1.0666055030208628,0.9714325534674593,728.0,844.1005099200224,1,3,red,0.8742830024473064
45,836283ca-57cd-4425-ad55-503c2e66e90c,2845,4043,145.05268380638975,145.05399131582354,-37.85174607358945,-37.845675695286054,0.6808132316530529,0.5573772248437487,0.45297130856680295,604.0,887.1742967354703,1,1,dark_blue,0.39203225574404343
46,3b861257-8439-4684-95f3-ce65b54eabf1,3577,2469,144.91651482410097,144.91205843216792,-37.829598008885895,-37.83251093109945,0.8187664666222355,0.9215899230333702,0.7254840891179484,789.3333333333334,482.0259289499688,2,3,red,0.8742830024473064
47,af32a150-4661-427c-b576-e65e1ab14ed4,4262,4801,145.01656189422235,144.9991864037889,-37.82003422345045,-37.81855068788612,0.44539944765216355,0.5630733092977275,0.5485605036003549,916.0,1028.2904534665631,2,0,dark_blue,0.3598713923457558
48,7b26c675-6c43-470e-94f2-671f2f30c042,2909,4601,144.95483730398834,144.95573761990642,-37.81440030238803,-37.8163534620753,0.5401323719938095,0.38572546331502533,0.3436232299843336,1344.0,829.4263096031107,3,2,dark_blue,0.31297613550902054
